0,strike,LEVELS/STRIKE,sp_str_cine_intro,900,sp_strike_loading,LEVELS/STRIKE_DESC,LEVELS/STRIKE_LOCATION,sp_strike_mission_preview,0,0,,,republic,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,
1,nightwar,LEVELS/NIGHTWAR,sp_nwr_cine_intro,4485,sp_nightwar_loading,LEVELS/NIGHTWAR_DESC,LEVELS/NIGHTWAR_LOCATION,sp_nightwar_mission_preview,0,0,,,republic,LEVELS/NIGHTWAR_CHYRONDATE,LEVELS/NIGHTWAR_CHYRONWHO,LEVELS/NIGHTWAR_CHYRONSQUAD,LEVELS/NIGHTWAR_CHYRONLOCATION,
2,marina,LEVELS/MARINA,sp_mtg_cine_intro,5243,sp_marina_loading,LEVELS/MARINA_DESC,LEVELS/MARINA_LOCATION,sp_marina_mission_preview,0,0,,,netherlands,LEVELS/MARINA_CHYRONDATE,LEVELS/MARINA_CHYRONWHO,LEVELS/MARINA_CHYRONSQUAD,LEVELS/MARINA_CHYRONLOCATION,
3,montage_canals,LEVELS/MONTAGE,sp_cnls_cine_intro,1965,sp_montage_canals_loading,LEVELS/MONTAGE_DESC,LEVELS/MONTAGE_LOCATION,sp_canals_mission_preview,0,0,,,netherlands,LEVELS/MONTAGE_CHYRONDATE,LEVELS/MONTAGE_CHYRONWHO,LEVELS/MONTAGE_CHYRONSQUAD,LEVELS/MONTAGE_CHYRONLOCATION,
4,border,LEVELS/BORDER,sp_brdr_cine_intro,950,sp_border_loading,LEVELS/BORDER_DESC,LEVELS/BORDER_LOCATION,sp_border_mission_preview,0,0,,,gulf,LEVELS/BORDER_CHYRONDATE,LEVELS/BORDER_CHYRONWHO,LEVELS/BORDER_CHYRONSQUAD,LEVELS/BORDER_CHYRONLOCATION,
5,backstabbed,LEVELS/BACKSTABBED,sp_bs_cine_intro,6678,sp_backstabbed_loading,LEVELS/BACKSTABBED_DESC,LEVELS/BACKSTABBED_LOCATION,sp_backstabbed_mission_preview,0,0,,,mexico,LEVELS/BACKSTABBED_CHYRONDATE,LEVELS/BACKSTABBED_CHYRONWHO,LEVELS/BACKSTABBED_CHYRONSQUAD,LEVELS/BACKSTABBED_CHYRONLOCATION,
6,gunship_compound,LEVELS/GUNSHIP_COMPOUND,sp_gscom_cine_intro,1750,sp_gunship_compound_loading,LEVELS/GUNSHIP_COMPOUND_DESC,LEVELS/GUNSHIP_LOCATION,sp_gunship_compound_mission_preview,0,0,,,mexico,LEVELS/GUNSHIP_COMPOUND_CHYRONDATE,LEVELS/GUNSHIP_COMPOUND_CHYRONWHO,LEVELS/GUNSHIP_COMPOUND_CHYRONSQUAD,LEVELS/GUNSHIP_COMPOUND_CHYRONLOCATION,
7,gunship_ambush,LEVELS/GUNSHIP_AMBUSH,sp_gsamb_cine_intro,533,sp_gunship_ambush_loading,LEVELS/GUNSHIP_AMBUSH_DESC,LEVELS/GUNSHIP_LOCATION,sp_gunship_ambush_mission_preview,0,0,,,mexico,LEVELS/GUNSHIP_AMBUSH_CHYRONDATE,LEVELS/GUNSHIP_AMBUSH_CHYRONWHO,LEVELS/GUNSHIP_AMBUSH_CHYRONSQUAD,LEVELS/GUNSHIP_AMBUSH_CHYRONLOCATION,
8,intercept,LEVELS/INTERCEPT,sp_intcpt_cine_intro,6721,sp_intercept_loading,LEVELS/INTERCEPT_DESC,LEVELS/INTERCEPT_LOCATION,sp_intercept_mission_preview,0,0,,,spain,LEVELS/INTERCEPT_CHYRONDATE,LEVELS/INTERCEPT_CHYRONWHO,LEVELS/INTERCEPT_CHYRONSQUAD,LEVELS/INTERCEPT_CHYRONLOCATION,
9,convoy_chase,LEVELS/CONVOY_CHASE,sp_con_cine_intro,4225,sp_convoy_loading,LEVELS/CONVOY_CHASE_DESC,LEVELS/CONVOY_CHASE_LOCATION,sp_convoy_mission_preview,0,0,,,urzikstan,LEVELS/CONVOY_CHASE_CHYRONDATE,LEVELS/CONVOY_CHASE_CHYRONWHO,LEVELS/CONVOY_CHASE_CHYRONSQUAD,LEVELS/CONVOY_CHASE_CHYRONLOCATION,
